# ===== DEPENDENCIAS DEL PROYECTO SNAKE DQN =====

# ===== DEPENDENCIAS ESENCIALES =====
# Estas dependencias son necesarias para ejecutar el proyecto básico

pygame==2.6.1        # Motor de juego
torch==1.13.1        # Framework de aprendizaje profundo
numpy==1.21.6        # Procesamiento numérico

# ===== DEPENDENCIAS PARA ANÁLISIS DE DATOS =====
# Necesarias para el análisis y procesamiento de resultados

pandas==1.3.5        # Manipulación y análisis de datos

# ===== DEPENDENCIAS PARA VISUALIZACIÓN =====
# Necesarias para generar gráficos y visualizaciones

matplotlib==3.5.3    # Generación de gráficos
seaborn==0.12.2      # Visualización estadística avanzada

# ===== UTILIDADES =====
# Herramientas auxiliares para mejorar la experiencia

colorama==0.4.6      # Salida de consola coloreada
tabulate==0.9.0      # Formateo de tablas en consola

# ===== DEPENDENCIAS PARA DESARROLLO (OPCIONALES) =====
# Estas dependencias son útiles para desarrollo pero no son necesarias para ejecutar el proyecto
# Comenta o descomenta según tus necesidades

# pytest==6.2.5        # Framework de pruebas
# flake8==4.0.1        # Linter de código
# black==21.12b0       # Formateador de código
# autopep8==2.0.4      # Formateador de código alternativo

# ===== DEPENDENCIAS ADICIONALES (OPCIONALES) =====
# Dependencias para características avanzadas
# Comenta o descomenta según tus necesidades

# Pillow==9.5.0        # Procesamiento de imágenes
# scipy==1.7.3         # Funciones científicas adicionales
